"Country Name",Y1960,Y1965,Y1970,Y1975,Y1980,Y1985,Y1990,Y1995,Y2000,Y2005,Y2010,Y2015,Y2020
"Turks and Caicos Islands",5825,5814,5837,6832,7894,9974,12115,16221,20171,28181,32658,35979,38718
Chad,3001604,3309583,3643608,4088568,4514427,5095400,5963250,7010159,8355654,10096630,11952134,14110971,16425859
"East Asia & Pacific (IDA & IBRD countries)",883445587,963806224,1102743524,1239283626,1342952249,1456445331,1584871821,1696013989,1793498345,1871341383,1941377365,2021618425,2088015667
"Europe & Central Asia (IDA & IBRD countries)",308424859,331852935,351017860,369959058,389610131,409642788,427282191,433786915,434305092,434404383,440398383,452263661,462132622
Togo,1580508,1708631,2115522,2410451,2720835,3252997,3774310,4226293,4924406,5611643,6421674,7323162,8278737
Thailand,27397208,31822656,36884525,42326307,47374463,52026901,56558196,59467272,62952639,65416189,67195032,68714519,69799978
Tajikistan,2087053,2487975,2930108,3390941,3905443,4537820,5283811,5764806,6216329,6789318,7527397,8454019,9537642
Turkmenistan,1603254,1892596,2195165,2525374,2876809,3244024,3683978,4207841,4516128,4754652,5087211,5565283,6031187
"Latin America & the Caribbean (IDA & IBRD countries)",209749023,240564863,273723962,308657753,346328178,386619091,426777889,466483148,504921279,540306150,573800616,606271936,636492840
Timor-Leste,474535,519676,571565,629227,599907,657061,737814,844333,884366,995130,1093517,1196294,1318442
"Middle East & North Africa (IDA & IBRD countries)",97553136,111307810,127335093,144855662,166616386,194494177,224280776,251758674,276357461,301435118,328991681,359705464,391344574
Tonga,61574,74348,84344,88321,92966,93896,95069,95972,97962,100908,103981,100780,105697
